47.98.62.203 - - [03/Apr/2019:01:04:23 +0800] "GET / HTTP/1.1" 200 11418
1.85.216.150 - - [03/Apr/2019:10:07:02 +0800] "GET /ssmdm/images/icon3.png HTTP/1.1" 404 949
1.85.216.150 - - [03/Apr/2019:10:07:02 +0800] "GET /ssmdm/images/icon5.png HTTP/1.1" 404 949
1.85.216.150 - - [03/Apr/2019:10:07:02 +0800] "GET /ssmdm/images/icon4.png HTTP/1.1" 404 949
1.85.216.150 - - [03/Apr/2019:10:07:03 +0800] "GET /ssmdm/toLogin HTTP/1.1" 200 2272
1.85.216.150 - - [03/Apr/2019:10:07:03 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/icon.css HTTP/1.1" 200 2508
1.85.216.150 - - [03/Apr/2019:10:07:03 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/locale/easyui-lang-zh_CN.js HTTP/1.1" 200 2501
1.85.216.150 - - [03/Apr/2019:10:07:03 +0800] "GET /ssmdm/js/login.js HTTP/1.1" 200 777
1.85.216.150 - - [03/Apr/2019:10:07:03 +0800] "GET /ssmdm/images/nav4.jpg HTTP/1.1" 500 49152
1.85.216.150 - - [03/Apr/2019:10:07:03 +0800] "GET /ssmdm/images/nav1.jpg HTTP/1.1" 500 114688
1.85.216.150 - - [03/Apr/2019:10:07:03 +0800] "GET /ssmdm/images/nav3.jpg HTTP/1.1" 500 40960
1.85.216.150 - - [03/Apr/2019:10:07:03 +0800] "GET /ssmdm/images/nav2.jpg HTTP/1.1" 500 122880
1.85.216.150 - - [03/Apr/2019:10:07:05 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/default/easyui.css HTTP/1.1" 200 66948
1.85.216.150 - - [03/Apr/2019:10:07:05 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/jquery.min.js HTTP/1.1" 200 95957
1.85.216.150 - - [03/Apr/2019:10:07:08 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/jquery.easyui.min.js HTTP/1.1" 200 424333
1.85.216.150 - - [03/Apr/2019:10:07:08 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/icons/man.png HTTP/1.1" 200 244
1.85.216.150 - - [03/Apr/2019:10:07:08 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/default/images/passwordbox_open.png HTTP/1.1" 200 165
1.85.216.150 - - [03/Apr/2019:10:07:08 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/default/images/combo_arrow.png HTTP/1.1" 200 117
1.85.216.150 - - [03/Apr/2019:10:07:12 +0800] "GET /ssmdm/images/logo.png HTTP/1.1" 200 556002
1.85.216.150 - - [03/Apr/2019:10:07:17 +0800] "POST /ssmdm/login HTTP/1.1" 500 16240
1.85.216.150 - - [03/Apr/2019:10:07:19 +0800] "POST /ssmdm/login HTTP/1.1" 200 3608
1.85.216.150 - - [03/Apr/2019:10:07:19 +0800] "GET /ssmdm/css/Main.css HTTP/1.1" 200 581
1.85.216.150 - - [03/Apr/2019:10:07:19 +0800] "GET /ssmdm/js/title.js HTTP/1.1" 200 747
1.85.216.150 - - [03/Apr/2019:10:07:19 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/default/images/panel_tools.png HTTP/1.1" 200 852
1.85.216.150 - - [03/Apr/2019:10:07:19 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/default/images/tabs_icons.png HTTP/1.1" 200 150
1.85.216.150 - - [03/Apr/2019:10:07:19 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/default/images/blank.gif HTTP/1.1" 200 43
1.85.216.150 - - [03/Apr/2019:10:07:19 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/default/images/accordion_arrows.png HTTP/1.1" 200 184
1.85.216.150 - - [03/Apr/2019:10:07:19 +0800] "GET /ssmdm/images/logo2.png HTTP/1.1" 200 33740
1.85.216.150 - - [03/Apr/2019:10:07:19 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
1.85.216.150 - - [03/Apr/2019:10:07:21 +0800] "GET /ssmdm/toAdvice HTTP/1.1" 200 840
1.85.216.150 - - [03/Apr/2019:10:07:21 +0800] "GET /ssmdm/js/student/queryAdvice.js HTTP/1.1" 200 3206
1.85.216.150 - - [03/Apr/2019:10:07:21 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/default/images/pagination_icons.png HTTP/1.1" 200 628
1.85.216.150 - - [03/Apr/2019:10:07:21 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/default/images/loading.gif HTTP/1.1" 200 1737
1.85.216.150 - - [03/Apr/2019:10:07:21 +0800] "POST /ssmdm/Student/queryAdvice HTTP/1.1" 200 32
1.85.216.150 - - [03/Apr/2019:10:07:23 +0800] "GET /ssmdm/toRead HTTP/1.1" 200 844
1.85.216.150 - - [03/Apr/2019:10:07:23 +0800] "GET /ssmdm/js/student/queryAllDoc.js HTTP/1.1" 200 4692
1.85.216.150 - - [03/Apr/2019:10:07:23 +0800] "POST /ssmdm/Student/queryAllDoc HTTP/1.1" 200 837
1.85.216.150 - - [03/Apr/2019:10:07:26 +0800] "GET /ssmdm/stuUpload HTTP/1.1" 200 2831
1.85.216.150 - - [03/Apr/2019:10:07:26 +0800] "GET /ssmdm/js/student/fileUpload.js HTTP/1.1" 200 1142
1.85.216.150 - - [03/Apr/2019:10:07:49 +0800] "GET /ssmdm/toTop HTTP/1.1" 200 12737
1.85.216.150 - - [03/Apr/2019:10:07:50 +0800] "GET /ssmdm/images/nav_ico.png HTTP/1.1" 404 949
1.85.216.150 - - [03/Apr/2019:10:07:50 +0800] "GET /ssmdm/images/icon5.png HTTP/1.1" 404 949
1.85.216.150 - - [03/Apr/2019:10:07:50 +0800] "GET /ssmdm/images/icon3.png HTTP/1.1" 404 949
1.85.216.150 - - [03/Apr/2019:10:07:50 +0800] "GET /ssmdm/images/icon4.png HTTP/1.1" 404 949
1.85.216.150 - - [03/Apr/2019:10:07:50 +0800] "GET /ssmdm/images/icon2.png HTTP/1.1" 404 949
1.85.216.150 - - [03/Apr/2019:10:07:51 +0800] "GET /ssmdm/toLogin HTTP/1.1" 200 2272
1.85.216.150 - - [03/Apr/2019:10:07:54 +0800] "GET /ssmdm/images/nav1.jpg HTTP/1.1" 500 229376
1.85.216.150 - - [03/Apr/2019:10:07:54 +0800] "GET /ssmdm/images/nav3.jpg HTTP/1.1" 500 139264
1.85.216.150 - - [03/Apr/2019:10:07:54 +0800] "GET /ssmdm/images/nav2.jpg HTTP/1.1" 500 221184
1.85.216.150 - - [03/Apr/2019:10:07:54 +0800] "GET /ssmdm/images/nav4.jpg HTTP/1.1" 500 204800
1.85.216.150 - - [03/Apr/2019:10:08:02 +0800] "POST /ssmdm/login HTTP/1.1" 200 3854
1.85.216.150 - - [03/Apr/2019:10:08:05 +0800] "GET /ssmdm/teachertoUploadAdvice HTTP/1.1" 200 2140
1.85.216.150 - - [03/Apr/2019:10:08:05 +0800] "GET /ssmdm/js/TeacherUploadDoc.js HTTP/1.1" 200 3192
1.85.216.150 - - [03/Apr/2019:10:08:05 +0800] "POST /ssmdm/Teacher/QuerryDocNoPass HTTP/1.1" 200 250
1.85.216.150 - - [03/Apr/2019:10:08:07 +0800] "GET /ssmdm/TUploadFiles HTTP/1.1" 200 2616
1.85.216.150 - - [03/Apr/2019:10:08:07 +0800] "GET /ssmdm/js/TUploadFiles.js HTTP/1.1" 200 2738
1.85.216.150 - - [03/Apr/2019:10:08:08 +0800] "POST /ssmdm/Teacher/QuerryStudent HTTP/1.1" 200 1582
1.85.216.150 - - [03/Apr/2019:10:08:09 +0800] "GET /ssmdm/teachertoDealDoc HTTP/1.1" 200 2388
1.85.216.150 - - [03/Apr/2019:10:08:09 +0800] "GET /ssmdm/js/TeacherDealDoc.js HTTP/1.1" 200 3684
1.85.216.150 - - [03/Apr/2019:10:08:09 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/icons/clear.png HTTP/1.1" 200 779
1.85.216.150 - - [03/Apr/2019:10:08:09 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/icons/filesave.png HTTP/1.1" 200 898
1.85.216.150 - - [03/Apr/2019:10:08:09 +0800] "POST /ssmdm/Teacher/QuerryDocForNoDeal HTTP/1.1" 200 238
1.85.216.150 - - [03/Apr/2019:10:08:20 +0800] "GET /ssmdm/teachertoReadDoc HTTP/1.1" 200 844
1.85.216.150 - - [03/Apr/2019:10:08:20 +0800] "GET /ssmdm/js/TeacherReadDoc.js HTTP/1.1" 200 4274
1.85.216.150 - - [03/Apr/2019:10:08:20 +0800] "POST /ssmdm/Teacher/QuerryAllDoc HTTP/1.1" 200 816
1.85.216.150 - - [03/Apr/2019:10:08:22 +0800] "GET /ssmdm/teachertoReadAdvice HTTP/1.1" 200 2212
1.85.216.150 - - [03/Apr/2019:10:08:22 +0800] "GET /ssmdm/js/TeacherReadAdvice.js HTTP/1.1" 200 4882
1.85.216.150 - - [03/Apr/2019:10:08:22 +0800] "POST /ssmdm/Teacher/QuerryAllAdvice HTTP/1.1" 200 32
1.85.216.150 - - [03/Apr/2019:10:11:03 +0800] "GET /ssmdm/images/nav_ico.png HTTP/1.1" 404 949
1.85.216.150 - - [03/Apr/2019:10:11:03 +0800] "GET /ssmdm/toTop HTTP/1.1" 200 12737
1.85.216.150 - - [03/Apr/2019:10:11:03 +0800] "GET /ssmdm/images/icon3.png HTTP/1.1" 404 949
1.85.216.150 - - [03/Apr/2019:10:11:03 +0800] "GET /ssmdm/images/icon5.png HTTP/1.1" 404 949
1.85.216.150 - - [03/Apr/2019:10:11:03 +0800] "GET /ssmdm/images/icon4.png HTTP/1.1" 404 949
1.85.216.150 - - [03/Apr/2019:10:11:03 +0800] "GET /ssmdm/images/icon2.png HTTP/1.1" 404 949
1.85.216.150 - - [03/Apr/2019:10:11:04 +0800] "GET /ssmdm/toLogin HTTP/1.1" 200 2272
1.85.216.150 - - [03/Apr/2019:10:11:04 +0800] "GET /ssmdm/images/nav1.jpg HTTP/1.1" 500 73728
1.85.216.150 - - [03/Apr/2019:10:11:04 +0800] "GET /ssmdm/images/nav2.jpg HTTP/1.1" 500 73728
1.85.216.150 - - [03/Apr/2019:10:11:04 +0800] "GET /ssmdm/images/nav3.jpg HTTP/1.1" 500 73728
1.85.216.150 - - [03/Apr/2019:10:11:04 +0800] "GET /ssmdm/images/nav4.jpg HTTP/1.1" 500 65536
1.85.216.150 - - [03/Apr/2019:10:13:26 +0800] "GET /ssmdm/images/nav_ico.png HTTP/1.1" 404 949
1.85.216.150 - - [03/Apr/2019:10:13:26 +0800] "GET /ssmdm/toTop HTTP/1.1" 200 12737
1.85.216.150 - - [03/Apr/2019:10:13:26 +0800] "GET /ssmdm/images/icon3.png HTTP/1.1" 404 949
1.85.216.150 - - [03/Apr/2019:10:13:26 +0800] "GET /ssmdm/images/icon5.png HTTP/1.1" 404 949
1.85.216.150 - - [03/Apr/2019:10:13:26 +0800] "GET /ssmdm/images/icon2.png HTTP/1.1" 404 949
1.85.216.150 - - [03/Apr/2019:10:13:26 +0800] "GET /ssmdm/images/icon4.png HTTP/1.1" 404 949
1.85.216.150 - - [03/Apr/2019:10:13:28 +0800] "GET /ssmdm/toLogin HTTP/1.1" 200 2272
1.85.216.150 - - [03/Apr/2019:10:13:28 +0800] "GET /ssmdm/images/nav3.jpg HTTP/1.1" 500 131072
1.85.216.150 - - [03/Apr/2019:10:13:28 +0800] "GET /ssmdm/images/nav1.jpg HTTP/1.1" 500 81920
1.85.216.150 - - [03/Apr/2019:10:13:28 +0800] "GET /ssmdm/images/nav2.jpg HTTP/1.1" 500 73728
1.85.216.150 - - [03/Apr/2019:10:13:28 +0800] "GET /ssmdm/images/nav4.jpg HTTP/1.1" 500 106496
1.85.216.150 - - [03/Apr/2019:10:13:39 +0800] "POST /ssmdm/login HTTP/1.1" 200 2272
1.85.216.150 - - [03/Apr/2019:10:14:02 +0800] "POST /ssmdm/login HTTP/1.1" 200 2272
1.85.216.150 - - [03/Apr/2019:10:14:15 +0800] "POST /ssmdm/login HTTP/1.1" 200 2272
1.85.216.150 - - [03/Apr/2019:10:14:22 +0800] "POST /ssmdm/login HTTP/1.1" 200 2272
1.85.216.150 - - [03/Apr/2019:10:14:31 +0800] "POST /ssmdm/login HTTP/1.1" 200 2272
1.85.216.150 - - [03/Apr/2019:10:15:51 +0800] "POST /ssmdm/login HTTP/1.1" 200 2272
1.85.216.150 - - [03/Apr/2019:10:15:59 +0800] "GET /ssmdm/Tmain HTTP/1.1" 404 973
1.85.216.150 - - [03/Apr/2019:10:16:06 +0800] "GET /ssmdm/toTmain HTTP/1.1" 404 977
1.85.216.150 - - [03/Apr/2019:10:16:11 +0800] "GET /ssmdm/toTeacher HTTP/1.1" 404 981
1.85.216.150 - - [03/Apr/2019:10:16:16 +0800] "GET /ssmdm/ HTTP/1.1" 302 -
1.85.216.150 - - [03/Apr/2019:10:16:16 +0800] "GET /ssmdm/toTop HTTP/1.1" 200 12737
1.85.216.150 - - [03/Apr/2019:10:16:16 +0800] "GET /ssmdm/images/icon4.png HTTP/1.1" 404 949
1.85.216.150 - - [03/Apr/2019:10:16:16 +0800] "GET /ssmdm/images/icon3.png HTTP/1.1" 404 949
1.85.216.150 - - [03/Apr/2019:10:16:16 +0800] "GET /ssmdm/images/icon5.png HTTP/1.1" 404 949
1.85.216.150 - - [03/Apr/2019:10:16:16 +0800] "GET /ssmdm/images/icon2.png HTTP/1.1" 404 949
1.85.216.150 - - [03/Apr/2019:10:16:16 +0800] "GET /ssmdm/images/nav_ico.png HTTP/1.1" 404 949
1.85.216.150 - - [03/Apr/2019:10:16:18 +0800] "GET /ssmdm/toLogin HTTP/1.1" 200 2272
1.85.216.150 - - [03/Apr/2019:10:16:18 +0800] "GET /ssmdm/images/nav2.jpg HTTP/1.1" 500 81920
1.85.216.150 - - [03/Apr/2019:10:16:18 +0800] "GET /ssmdm/images/nav3.jpg HTTP/1.1" 500 81920
1.85.216.150 - - [03/Apr/2019:10:16:18 +0800] "GET /ssmdm/images/nav1.jpg HTTP/1.1" 500 114688
1.85.216.150 - - [03/Apr/2019:10:16:18 +0800] "GET /ssmdm/images/nav4.jpg HTTP/1.1" 500 98304
1.85.216.150 - - [03/Apr/2019:10:17:39 +0800] "POST /ssmdm/login HTTP/1.1" 200 2272
1.85.216.150 - - [03/Apr/2019:10:17:43 +0800] "POST /ssmdm/login HTTP/1.1" 200 2272
1.85.216.150 - - [03/Apr/2019:10:17:52 +0800] "POST /ssmdm/login HTTP/1.1" 200 2272
1.85.216.150 - - [03/Apr/2019:10:17:56 +0800] "POST /ssmdm/login HTTP/1.1" 200 3702
1.85.216.150 - - [03/Apr/2019:10:18:00 +0800] "GET /ssmdm/Office/DocInfo HTTP/1.1" 200 2200
1.85.216.150 - - [03/Apr/2019:10:18:00 +0800] "GET /ssmdm/js/Office/Office1.js HTTP/1.1" 200 18047
1.85.216.150 - - [03/Apr/2019:10:18:00 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/default/images/layout_arrows.png HTTP/1.1" 200 319
1.85.216.150 - - [03/Apr/2019:10:18:01 +0800] "GET /ssmdm/Office/DocDeal HTTP/1.1" 200 3279
1.85.216.150 - - [03/Apr/2019:10:18:01 +0800] "GET /ssmdm/js/Office/OfficeDealDoc.js HTTP/1.1" 200 6124
1.85.216.150 - - [03/Apr/2019:10:18:02 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/icons/edit_add.png HTTP/1.1" 200 1088
1.85.216.150 - - [03/Apr/2019:10:18:02 +0800] "POST /ssmdm/Office/QuerryAllDocDeal HTTP/1.1" 200 295
1.85.216.150 - - [03/Apr/2019:10:18:14 +0800] "POST /ssmdm/Office/QuerryAllDoc HTTP/1.1" 200 822
1.85.216.150 - - [03/Apr/2019:10:18:29 +0800] "GET /ssmdm/Student/download?location=/doc/10/2015/1001/1510064101/151006410199.docx HTTP/1.1" 200 92873
36.70.147.206 - - [03/Apr/2019:10:19:57 +0800] "GET / HTTP/1.1" 200 11418
1.85.216.150 - - [03/Apr/2019:10:22:25 +0800] "POST /ssmdm/login HTTP/1.1" 200 3608
1.85.216.150 - - [03/Apr/2019:10:22:25 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
47.100.64.9 - - [03/Apr/2019:11:14:47 +0800] "GET / HTTP/1.0" 200 11398
185.234.216.24 - - [03/Apr/2019:11:19:48 +0800] "GET / HTTP/1.1" 200 11418
189.78.32.54 - - [03/Apr/2019:11:30:06 +0800] "GET / HTTP/1.1" 200 11418
92.16.24.194 - - [03/Apr/2019:12:30:10 +0800] "GET / HTTP/1.1" 200 11418
212.232.72.151 - - [03/Apr/2019:12:53:00 +0800] "GET / HTTP/1.1" 200 11418
69.162.127.162 - - [03/Apr/2019:13:02:04 +0800] "HEAD /robots.txt HTTP/1.0" 404 -
1.85.216.150 - - [03/Apr/2019:14:00:17 +0800] "GET /ssmdm/js/js_z.js HTTP/1.1" 200 788
1.85.216.150 - - [03/Apr/2019:14:00:17 +0800] "GET /ssmdm/toTop HTTP/1.1" 200 12737
1.85.216.150 - - [03/Apr/2019:14:00:17 +0800] "GET /ssmdm/css/flexslider.css HTTP/1.1" 200 3250
1.85.216.150 - - [03/Apr/2019:14:00:17 +0800] "GET /ssmdm/css/reset.css HTTP/1.1" 200 1187
1.85.216.150 - - [03/Apr/2019:14:00:17 +0800] "GET /ssmdm/css/responsive.css HTTP/1.1" 200 4432
1.85.216.150 - - [03/Apr/2019:14:00:17 +0800] "GET /ssmdm/css/thems.css HTTP/1.1" 200 13346
1.85.216.150 - - [03/Apr/2019:14:00:17 +0800] "GET /ssmdm/js/jquery.flexslider.js HTTP/1.1" 200 40487
1.85.216.150 - - [03/Apr/2019:14:00:18 +0800] "GET /ssmdm/js/jquery-1.8.3.min.js HTTP/1.1" 200 93636
1.85.216.150 - - [03/Apr/2019:14:00:27 +0800] "GET /ssmdm/images/nav4.jpg HTTP/1.1" 500 303104
1.85.216.150 - - [03/Apr/2019:14:00:27 +0800] "GET /ssmdm/images/nav2.jpg HTTP/1.1" 500 237568
1.85.216.150 - - [03/Apr/2019:14:00:27 +0800] "GET /ssmdm/images/nav3.jpg HTTP/1.1" 500 434176
1.85.216.150 - - [03/Apr/2019:14:00:27 +0800] "GET /ssmdm/images/nav1.jpg HTTP/1.1" 500 335872
106.15.76.92 - - [03/Apr/2019:14:51:43 +0800] "GET / HTTP/1.0" 200 11398
95.165.218.102 - - [03/Apr/2019:15:08:24 +0800] "GET / HTTP/1.1" 200 11418
89.44.181.1 - - [03/Apr/2019:15:50:32 +0800] "GET / HTTP/1.1" 200 11418
119.23.174.205 - - [03/Apr/2019:16:33:18 +0800] "GET / HTTP/1.0" 200 11398
196.52.43.64 - - [03/Apr/2019:16:34:16 +0800] "GET / HTTP/1.0" 200 11398
80.82.70.187 - - [03/Apr/2019:16:38:21 +0800] "GET /cache/global/img/gs.gif HTTP/1.1" 404 997
95.43.221.232 - - [03/Apr/2019:16:56:19 +0800] "GET / HTTP/1.1" 200 11418
160.238.208.235 - - [03/Apr/2019:17:07:08 +0800] "GET / HTTP/1.1" 200 11418
88.253.111.178 - - [03/Apr/2019:17:16:42 +0800] "GET / HTTP/1.1" 200 11418
1.85.216.150 - - [03/Apr/2019:17:42:24 +0800] "GET /ssmdm/ HTTP/1.1" 302 -
1.85.216.150 - - [03/Apr/2019:17:42:24 +0800] "GET /ssmdm/css/reset.css HTTP/1.1" 200 1187
1.85.216.150 - - [03/Apr/2019:17:42:24 +0800] "GET /ssmdm/toTop HTTP/1.1" 200 12737
1.85.216.150 - - [03/Apr/2019:17:42:24 +0800] "GET /ssmdm/css/flexslider.css HTTP/1.1" 200 3250
1.85.216.150 - - [03/Apr/2019:17:42:24 +0800] "GET /ssmdm/css/responsive.css HTTP/1.1" 200 4432
1.85.216.150 - - [03/Apr/2019:17:42:24 +0800] "GET /ssmdm/js/js_z.js HTTP/1.1" 200 788
1.85.216.150 - - [03/Apr/2019:17:42:25 +0800] "GET /ssmdm/css/thems.css HTTP/1.1" 200 13346
1.85.216.150 - - [03/Apr/2019:17:42:25 +0800] "GET /ssmdm/js/jquery.flexslider.js HTTP/1.1" 200 40487
1.85.216.150 - - [03/Apr/2019:17:42:27 +0800] "GET /ssmdm/js/jquery-1.8.3.min.js HTTP/1.1" 200 93636
1.85.216.150 - - [03/Apr/2019:17:42:27 +0800] "GET /ssmdm/images/icon2.png HTTP/1.1" 404 949
1.85.216.150 - - [03/Apr/2019:17:42:27 +0800] "GET /ssmdm/images/nav_ico.png HTTP/1.1" 404 949
1.85.216.150 - - [03/Apr/2019:17:42:27 +0800] "GET /ssmdm/images/icon5.png HTTP/1.1" 404 949
1.85.216.150 - - [03/Apr/2019:17:42:27 +0800] "GET /ssmdm/images/icon4.png HTTP/1.1" 404 949
1.85.216.150 - - [03/Apr/2019:17:42:27 +0800] "GET /ssmdm/images/icon3.png HTTP/1.1" 404 949
1.85.216.150 - - [03/Apr/2019:17:42:29 +0800] "GET /ssmdm/toLogin HTTP/1.1" 200 2272
1.85.216.150 - - [03/Apr/2019:17:42:29 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/icon.css HTTP/1.1" 200 2508
1.85.216.150 - - [03/Apr/2019:17:42:29 +0800] "GET /ssmdm/js/login.js HTTP/1.1" 200 777
1.85.216.150 - - [03/Apr/2019:17:42:29 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/locale/easyui-lang-zh_CN.js HTTP/1.1" 200 2501
1.85.216.150 - - [03/Apr/2019:17:42:29 +0800] "GET /ssmdm/images/nav1.jpg HTTP/1.1" 500 155648
1.85.216.150 - - [03/Apr/2019:17:42:29 +0800] "GET /ssmdm/images/nav4.jpg HTTP/1.1" 500 81920
1.85.216.150 - - [03/Apr/2019:17:42:29 +0800] "GET /ssmdm/images/nav3.jpg HTTP/1.1" 500 49152
1.85.216.150 - - [03/Apr/2019:17:42:29 +0800] "GET /ssmdm/images/nav2.jpg HTTP/1.1" 500 245760
1.85.216.150 - - [03/Apr/2019:17:42:30 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/default/easyui.css HTTP/1.1" 200 66948
1.85.216.150 - - [03/Apr/2019:17:42:30 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/jquery.min.js HTTP/1.1" 200 95957
1.85.216.150 - - [03/Apr/2019:17:42:33 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/jquery.easyui.min.js HTTP/1.1" 200 424333
1.85.216.150 - - [03/Apr/2019:17:42:33 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/icons/man.png HTTP/1.1" 200 244
1.85.216.150 - - [03/Apr/2019:17:42:33 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/default/images/passwordbox_open.png HTTP/1.1" 200 165
1.85.216.150 - - [03/Apr/2019:17:42:33 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/default/images/combo_arrow.png HTTP/1.1" 200 117
1.85.216.150 - - [03/Apr/2019:17:42:38 +0800] "GET /ssmdm/images/logo.png HTTP/1.1" 200 556002
1.85.216.150 - - [03/Apr/2019:17:42:41 +0800] "POST /ssmdm/login HTTP/1.1" 200 3608
1.85.216.150 - - [03/Apr/2019:17:42:41 +0800] "GET /ssmdm/css/Main.css HTTP/1.1" 200 581
1.85.216.150 - - [03/Apr/2019:17:42:41 +0800] "GET /ssmdm/js/title.js HTTP/1.1" 200 747
1.85.216.150 - - [03/Apr/2019:17:42:41 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/default/images/tabs_icons.png HTTP/1.1" 200 150
1.85.216.150 - - [03/Apr/2019:17:42:41 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/default/images/blank.gif HTTP/1.1" 200 43
1.85.216.150 - - [03/Apr/2019:17:42:41 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/default/images/panel_tools.png HTTP/1.1" 200 852
1.85.216.150 - - [03/Apr/2019:17:42:41 +0800] "GET /ssmdm/js/jquery-easyui-1.5.2/themes/default/images/accordion_arrows.png HTTP/1.1" 200 184
1.85.216.150 - - [03/Apr/2019:17:42:41 +0800] "GET /ssmdm/images/logo2.png HTTP/1.1" 200 33740
