185.95.186.98 - - [29/Jul/2019:00:44:20 +0800] "GET / HTTP/1.1" 302 -
3.92.177.36 - - [29/Jul/2019:09:10:33 +0800] "GET / HTTP/1.1" 302 -
3.92.177.36 - - [29/Jul/2019:09:10:35 +0800] "GET /bysj/css/reset.css HTTP/1.1" 200 1187
3.92.177.36 - - [29/Jul/2019:09:10:35 +0800] "GET /bysj/css/flexslider.css HTTP/1.1" 200 3250
3.92.177.36 - - [29/Jul/2019:09:10:35 +0800] "GET /bysj/css/responsive.css HTTP/1.1" 200 4432
3.92.177.36 - - [29/Jul/2019:09:10:35 +0800] "GET /toTop HTTP/1.1" 200 12803
3.92.177.36 - - [29/Jul/2019:09:10:35 +0800] "GET /bysj/js/js_z.js HTTP/1.1" 200 788
3.92.177.36 - - [29/Jul/2019:09:10:35 +0800] "GET /images/logo4.png HTTP/1.1" 200 8674
3.92.177.36 - - [29/Jul/2019:09:10:36 +0800] "GET /bysj/css/thems.css HTTP/1.1" 200 13346
3.92.177.36 - - [29/Jul/2019:09:10:37 +0800] "GET /bysj/js/jquery.flexslider.js HTTP/1.1" 200 40487
3.92.177.36 - - [29/Jul/2019:09:10:37 +0800] "GET /bysj/images/nav1.jpg HTTP/1.1" 200 35839
3.92.177.36 - - [29/Jul/2019:09:10:37 +0800] "GET /bysj/js/jquery-1.8.3.min.js HTTP/1.1" 200 93636
3.92.177.36 - - [29/Jul/2019:09:10:37 +0800] "GET /bysj/images/icon2.png HTTP/1.1" 404 3387
3.92.177.36 - - [29/Jul/2019:09:10:37 +0800] "GET /bysj/images/nav_ico.png HTTP/1.1" 404 3387
3.92.177.36 - - [29/Jul/2019:09:10:37 +0800] "GET /bysj/images/icon3.png HTTP/1.1" 404 3387
3.92.177.36 - - [29/Jul/2019:09:10:37 +0800] "GET /bysj/images/nav3.jpg HTTP/1.1" 200 37949
3.92.177.36 - - [29/Jul/2019:09:10:38 +0800] "GET /bysj/images/icon5.png HTTP/1.1" 404 3387
3.92.177.36 - - [29/Jul/2019:09:10:38 +0800] "GET /bysj/images/icon4.png HTTP/1.1" 404 3387
3.92.177.36 - - [29/Jul/2019:09:10:40 +0800] "GET /bysj/images/nav2.jpg HTTP/1.1" 500 147456
3.92.177.36 - - [29/Jul/2019:09:10:40 +0800] "GET /bysj/images/nav4.jpg HTTP/1.1" 500 106496
47.94.52.159 - - [29/Jul/2019:09:31:09 +0800] "GET / HTTP/1.0" 302 -
187.202.185.101 - - [29/Jul/2019:09:31:32 +0800] "GET / HTTP/1.1" 302 -
103.4.167.29 - - [29/Jul/2019:09:50:23 +0800] "GET / HTTP/1.1" 302 -
177.125.44.181 - - [29/Jul/2019:11:53:17 +0800] "GET / HTTP/1.1" 302 -
87.107.59.190 - - [29/Jul/2019:12:19:53 +0800] "GET / HTTP/1.1" 302 -
196.251.59.129 - - [29/Jul/2019:12:44:03 +0800] "GET / HTTP/1.1" 302 -
47.94.39.226 - - [29/Jul/2019:13:15:44 +0800] "GET / HTTP/1.0" 302 -
45.226.39.81 - - [29/Jul/2019:16:15:24 +0800] "GET / HTTP/1.1" 302 -
95.80.182.77 - - [29/Jul/2019:16:22:42 +0800] "GET / HTTP/1.1" 302 -
103.212.129.67 - - [29/Jul/2019:16:24:12 +0800] "GET / HTTP/1.1" 302 -
54.185.137.228 - - [29/Jul/2019:16:38:04 +0800] "GET / HTTP/1.1" 302 -
101.227.139.163 - - [29/Jul/2019:16:57:23 +0800] "GET / HTTP/1.0" 302 -
101.91.60.110 - - [29/Jul/2019:17:09:07 +0800] "GET / HTTP/1.1" 302 -
117.136.87.7 - - [29/Jul/2019:17:19:51 +0800] "GET / HTTP/1.1" 302 -
117.136.87.7 - - [29/Jul/2019:17:19:51 +0800] "GET /toTop HTTP/1.1" 200 12803
117.136.87.7 - - [29/Jul/2019:17:19:52 +0800] "GET /bysj/images/nav_ico.png HTTP/1.1" 404 3387
117.136.87.7 - - [29/Jul/2019:17:19:52 +0800] "GET /bysj/images/icon2.png HTTP/1.1" 404 3387
117.136.87.7 - - [29/Jul/2019:17:19:52 +0800] "GET /bysj/images/icon3.png HTTP/1.1" 404 3387
117.136.87.7 - - [29/Jul/2019:17:19:52 +0800] "GET /bysj/images/icon4.png HTTP/1.1" 404 3387
117.136.87.7 - - [29/Jul/2019:17:19:52 +0800] "GET /bysj/images/icon5.png HTTP/1.1" 404 3387
71.79.238.101 - - [29/Jul/2019:17:32:37 +0800] "GET / HTTP/1.1" 302 -
194.32.117.3 - - [29/Jul/2019:17:35:13 +0800] "GET / HTTP/1.1" 400 -
117.136.87.7 - - [29/Jul/2019:17:38:06 +0800] "GET / HTTP/1.1" 302 -
117.136.87.7 - - [29/Jul/2019:17:38:06 +0800] "GET /toTop HTTP/1.1" 200 12803
117.136.87.7 - - [29/Jul/2019:17:38:07 +0800] "GET /bysj/images/icon2.png HTTP/1.1" 404 3387
117.136.87.7 - - [29/Jul/2019:17:38:07 +0800] "GET /bysj/images/icon3.png HTTP/1.1" 404 3387
117.136.87.7 - - [29/Jul/2019:17:38:07 +0800] "GET /bysj/images/nav_ico.png HTTP/1.1" 404 3387
117.136.87.7 - - [29/Jul/2019:17:38:07 +0800] "GET /bysj/images/icon4.png HTTP/1.1" 404 3387
117.136.87.7 - - [29/Jul/2019:17:38:07 +0800] "GET /bysj/images/icon5.png HTTP/1.1" 404 3387
117.136.87.7 - - [29/Jul/2019:17:46:00 +0800] "GET / HTTP/1.1" 302 -
117.136.87.7 - - [29/Jul/2019:17:46:00 +0800] "GET /toTop HTTP/1.1" 200 12803
117.136.87.7 - - [29/Jul/2019:17:46:02 +0800] "GET /bysj/images/nav_ico.png HTTP/1.1" 404 3387
117.136.87.7 - - [29/Jul/2019:17:46:02 +0800] "GET /bysj/images/icon2.png HTTP/1.1" 404 3387
117.136.87.7 - - [29/Jul/2019:17:46:02 +0800] "GET /bysj/images/icon3.png HTTP/1.1" 404 3387
117.136.87.7 - - [29/Jul/2019:17:46:02 +0800] "GET /bysj/images/icon5.png HTTP/1.1" 404 3387
117.136.87.7 - - [29/Jul/2019:17:46:02 +0800] "GET /bysj/images/icon4.png HTTP/1.1" 404 3387
117.136.87.7 - - [29/Jul/2019:17:46:12 +0800] "GET / HTTP/1.1" 302 -
117.136.87.7 - - [29/Jul/2019:17:46:12 +0800] "GET /toTop HTTP/1.1" 200 12803
117.136.87.7 - - [29/Jul/2019:17:46:16 +0800] "GET / HTTP/1.1" 302 -
117.136.87.7 - - [29/Jul/2019:18:22:56 +0800] "GET / HTTP/1.1" 302 -
117.136.87.7 - - [29/Jul/2019:18:22:56 +0800] "GET /toTop HTTP/1.1" 200 12803
117.136.87.7 - - [29/Jul/2019:18:22:57 +0800] "GET /bysj/images/icon2.png HTTP/1.1" 404 3387
117.136.87.7 - - [29/Jul/2019:18:22:57 +0800] "GET /bysj/images/icon3.png HTTP/1.1" 404 3387
117.136.87.7 - - [29/Jul/2019:18:22:57 +0800] "GET /bysj/images/nav_ico.png HTTP/1.1" 404 3387
117.136.87.7 - - [29/Jul/2019:18:22:57 +0800] "GET /bysj/images/icon4.png HTTP/1.1" 404 3387
117.136.87.7 - - [29/Jul/2019:18:22:57 +0800] "GET /bysj/images/icon5.png HTTP/1.1" 404 3387
117.136.87.7 - - [29/Jul/2019:18:23:04 +0800] "GET / HTTP/1.1" 302 -
117.136.87.7 - - [29/Jul/2019:18:23:04 +0800] "GET /toTop HTTP/1.1" 200 12803
117.136.87.7 - - [29/Jul/2019:18:23:04 +0800] "GET /bysj/js/js_z.js HTTP/1.1" 200 788
117.136.87.7 - - [29/Jul/2019:18:23:04 +0800] "GET /bysj/css/flexslider.css HTTP/1.1" 200 3250
117.136.87.7 - - [29/Jul/2019:18:23:04 +0800] "GET /bysj/css/reset.css HTTP/1.1" 200 1187
117.136.87.7 - - [29/Jul/2019:18:23:04 +0800] "GET /bysj/css/thems.css HTTP/1.1" 200 13346
117.136.87.7 - - [29/Jul/2019:18:23:04 +0800] "GET /bysj/css/responsive.css HTTP/1.1" 200 4432
117.136.87.7 - - [29/Jul/2019:18:23:04 +0800] "GET /images/logo4.png HTTP/1.1" 200 8674
117.136.87.7 - - [29/Jul/2019:18:23:05 +0800] "GET /bysj/js/jquery-1.8.3.min.js HTTP/1.1" 200 93636
117.136.87.7 - - [29/Jul/2019:18:23:05 +0800] "GET /bysj/images/nav1.jpg HTTP/1.1" 200 35839
117.136.87.7 - - [29/Jul/2019:18:23:05 +0800] "GET /bysj/js/jquery.flexslider.js HTTP/1.1" 200 40487
117.136.87.7 - - [29/Jul/2019:18:23:05 +0800] "GET /bysj/images/icon2.png HTTP/1.1" 404 3387
117.136.87.7 - - [29/Jul/2019:18:23:05 +0800] "GET /bysj/images/icon3.png HTTP/1.1" 404 3387
117.136.87.7 - - [29/Jul/2019:18:23:05 +0800] "GET /bysj/images/nav_ico.png HTTP/1.1" 404 3387
117.136.87.7 - - [29/Jul/2019:18:23:05 +0800] "GET /bysj/images/icon4.png HTTP/1.1" 404 3387
117.136.87.7 - - [29/Jul/2019:18:23:05 +0800] "GET /bysj/images/icon5.png HTTP/1.1" 404 3387
117.136.87.7 - - [29/Jul/2019:18:23:06 +0800] "GET /bysj/images/nav3.jpg HTTP/1.1" 200 37949
117.136.87.7 - - [29/Jul/2019:18:23:13 +0800] "GET /bysj/images/nav4.jpg HTTP/1.1" 200 493564
117.136.87.7 - - [29/Jul/2019:18:23:13 +0800] "GET /bysj/images/nav2.jpg HTTP/1.1" 200 493564
117.136.87.7 - - [29/Jul/2019:18:23:14 +0800] "GET /favicon.ico HTTP/1.1" 200 4286
113.96.218.51 - - [29/Jul/2019:18:27:06 +0800] "GET / HTTP/1.1" 302 -
113.96.218.51 - - [29/Jul/2019:18:27:06 +0800] "GET /toTop HTTP/1.1" 200 12803
113.96.218.51 - - [29/Jul/2019:18:27:06 +0800] "GET /bysj/css/reset.css HTTP/1.1" 200 1187
113.96.218.51 - - [29/Jul/2019:18:27:06 +0800] "GET /bysj/js/js_z.js HTTP/1.1" 200 788
113.96.218.51 - - [29/Jul/2019:18:27:06 +0800] "GET /bysj/css/flexslider.css HTTP/1.1" 200 3250
113.96.218.51 - - [29/Jul/2019:18:27:06 +0800] "GET /images/logo4.png HTTP/1.1" 200 8674
113.96.218.51 - - [29/Jul/2019:18:27:06 +0800] "GET /bysj/css/responsive.css HTTP/1.1" 200 4432
157.255.246.25 - - [29/Jul/2019:18:27:06 +0800] "GET / HTTP/1.1" 302 -
157.255.246.25 - - [29/Jul/2019:18:27:06 +0800] "GET / HTTP/1.1" 302 -
157.255.172.24 - - [29/Jul/2019:18:27:06 +0800] "GET / HTTP/1.1" 302 -
157.255.172.25 - - [29/Jul/2019:18:27:06 +0800] "GET / HTTP/1.1" 302 -
112.60.1.97 - - [29/Jul/2019:18:27:06 +0800] "GET / HTTP/1.1" 302 -
58.250.137.193 - - [29/Jul/2019:18:27:06 +0800] "GET / HTTP/1.1" 302 -
112.60.1.124 - - [29/Jul/2019:18:27:06 +0800] "GET / HTTP/1.1" 302 -
112.60.1.124 - - [29/Jul/2019:18:27:06 +0800] "GET / HTTP/1.1" 302 -
112.60.1.79 - - [29/Jul/2019:18:27:06 +0800] "GET / HTTP/1.1" 302 -
112.60.1.79 - - [29/Jul/2019:18:27:06 +0800] "GET / HTTP/1.1" 302 -
157.255.172.18 - - [29/Jul/2019:18:27:06 +0800] "GET / HTTP/1.1" 302 -
58.250.137.191 - - [29/Jul/2019:18:27:06 +0800] "GET / HTTP/1.1" 302 -
157.255.172.126 - - [29/Jul/2019:18:27:06 +0800] "GET / HTTP/1.1" 302 -
58.250.137.193 - - [29/Jul/2019:18:27:06 +0800] "GET / HTTP/1.1" 302 -
157.255.172.24 - - [29/Jul/2019:18:27:06 +0800] "GET / HTTP/1.1" 302 -
157.255.193.24 - - [29/Jul/2019:18:27:06 +0800] "GET / HTTP/1.1" 302 -
112.60.1.97 - - [29/Jul/2019:18:27:06 +0800] "GET / HTTP/1.1" 302 -
112.60.1.79 - - [29/Jul/2019:18:27:06 +0800] "GET / HTTP/1.1" 302 -
112.60.1.64 - - [29/Jul/2019:18:27:06 +0800] "GET / HTTP/1.1" 302 -
112.60.1.73 - - [29/Jul/2019:18:27:06 +0800] "GET / HTTP/1.1" 302 -
112.60.1.79 - - [29/Jul/2019:18:27:06 +0800] "GET / HTTP/1.1" 302 -
112.60.1.124 - - [29/Jul/2019:18:27:06 +0800] "GET / HTTP/1.1" 302 -
113.96.218.51 - - [29/Jul/2019:18:27:06 +0800] "GET /bysj/js/jquery.flexslider.js HTTP/1.1" 200 40487
113.96.218.51 - - [29/Jul/2019:18:27:07 +0800] "GET /bysj/css/thems.css HTTP/1.1" 200 13346
113.96.218.51 - - [29/Jul/2019:18:27:08 +0800] "GET /bysj/js/jquery-1.8.3.min.js HTTP/1.1" 200 93636
113.96.218.51 - - [29/Jul/2019:18:27:08 +0800] "GET /bysj/images/nav1.jpg HTTP/1.1" 200 35839
113.96.218.51 - - [29/Jul/2019:18:27:08 +0800] "GET /bysj/images/nav_ico.png HTTP/1.1" 404 3387
112.60.1.124 - - [29/Jul/2019:18:27:08 +0800] "GET / HTTP/1.1" 302 -
113.96.218.51 - - [29/Jul/2019:18:27:08 +0800] "GET /bysj/images/nav3.jpg HTTP/1.1" 200 37949
113.96.218.51 - - [29/Jul/2019:18:27:08 +0800] "GET /bysj/images/icon4.png HTTP/1.1" 404 3387
113.96.218.51 - - [29/Jul/2019:18:27:08 +0800] "GET /bysj/images/icon3.png HTTP/1.1" 404 3387
113.96.218.51 - - [29/Jul/2019:18:27:08 +0800] "GET /bysj/images/icon5.png HTTP/1.1" 404 3387
112.60.1.73 - - [29/Jul/2019:18:27:08 +0800] "GET / HTTP/1.1" 302 -
112.60.1.97 - - [29/Jul/2019:18:27:08 +0800] "GET / HTTP/1.1" 302 -
117.136.87.7 - - [29/Jul/2019:18:27:14 +0800] "GET /toTop HTTP/1.1" 200 12803
117.136.87.7 - - [29/Jul/2019:18:27:14 +0800] "GET /bysj/js/js_z.js HTTP/1.1" 200 788
113.96.218.51 - - [29/Jul/2019:18:27:14 +0800] "GET /bysj/images/nav4.jpg HTTP/1.1" 200 493564
117.136.87.7 - - [29/Jul/2019:18:27:15 +0800] "GET /bysj/css/flexslider.css HTTP/1.1" 200 3250
117.136.87.7 - - [29/Jul/2019:18:27:15 +0800] "GET /bysj/css/reset.css HTTP/1.1" 200 1187
117.136.87.7 - - [29/Jul/2019:18:27:15 +0800] "GET /bysj/css/thems.css HTTP/1.1" 200 13346
117.136.87.7 - - [29/Jul/2019:18:27:15 +0800] "GET /bysj/css/responsive.css HTTP/1.1" 200 4432
117.136.87.7 - - [29/Jul/2019:18:27:15 +0800] "GET /images/logo4.png HTTP/1.1" 200 8674
117.136.87.7 - - [29/Jul/2019:18:27:15 +0800] "GET /bysj/js/jquery.flexslider.js HTTP/1.1" 200 40487
113.96.218.51 - - [29/Jul/2019:18:27:16 +0800] "GET /bysj/images/nav2.jpg HTTP/1.1" 200 493564
117.136.87.7 - - [29/Jul/2019:18:27:16 +0800] "GET /bysj/images/nav3.jpg HTTP/1.1" 200 37949
117.136.87.7 - - [29/Jul/2019:18:27:17 +0800] "GET /bysj/images/nav1.jpg HTTP/1.1" 200 35839
113.96.218.51 - - [29/Jul/2019:18:27:17 +0800] "GET /favicon.ico HTTP/1.1" 200 4286
117.136.87.7 - - [29/Jul/2019:18:27:17 +0800] "GET /bysj/js/jquery-1.8.3.min.js HTTP/1.1" 200 93636
117.136.87.7 - - [29/Jul/2019:18:27:18 +0800] "GET /bysj/images/icon5.png HTTP/1.1" 404 3387
117.136.87.7 - - [29/Jul/2019:18:27:18 +0800] "GET /bysj/images/nav_ico.png HTTP/1.1" 404 3387
117.136.87.7 - - [29/Jul/2019:18:27:18 +0800] "GET /bysj/images/icon4.png HTTP/1.1" 404 3387
117.136.87.7 - - [29/Jul/2019:18:27:18 +0800] "GET /bysj/images/icon3.png HTTP/1.1" 404 3387
117.136.87.7 - - [29/Jul/2019:18:27:24 +0800] "GET /bysj/images/nav4.jpg HTTP/1.1" 200 493564
117.136.87.7 - - [29/Jul/2019:18:27:24 +0800] "GET /bysj/images/nav2.jpg HTTP/1.1" 200 493564
117.136.87.7 - - [29/Jul/2019:18:27:25 +0800] "GET /favicon.ico HTTP/1.1" 200 4286
198.108.66.96 - - [29/Jul/2019:18:28:34 +0800] "GET / HTTP/1.1" 302 -
198.108.66.96 - - [29/Jul/2019:18:28:34 +0800] "GET /toTop HTTP/1.1" 200 12803
120.204.17.71 - - [29/Jul/2019:18:29:57 +0800] "GET /toTop HTTP/1.1" 302 -
117.136.87.7 - - [29/Jul/2019:18:30:10 +0800] "GET / HTTP/1.1" 302 -
117.136.87.7 - - [29/Jul/2019:18:30:10 +0800] "GET / HTTP/1.1" 302 -
117.136.87.7 - - [29/Jul/2019:18:30:11 +0800] "GET /toTop HTTP/1.1" 200 12803
117.136.87.7 - - [29/Jul/2019:18:30:11 +0800] "GET /bysj/images/nav_ico.png HTTP/1.1" 404 3387
117.136.87.7 - - [29/Jul/2019:18:30:12 +0800] "GET /bysj/images/icon3.png HTTP/1.1" 404 3387
117.136.87.7 - - [29/Jul/2019:18:30:12 +0800] "GET /bysj/images/icon4.png HTTP/1.1" 404 3387
117.136.87.7 - - [29/Jul/2019:18:30:12 +0800] "GET /bysj/images/icon2.png HTTP/1.1" 404 3387
117.136.87.7 - - [29/Jul/2019:18:30:12 +0800] "GET /bysj/images/icon5.png HTTP/1.1" 404 3387
61.151.178.197 - - [29/Jul/2019:18:30:19 +0800] "GET /toTop HTTP/1.1" 302 -
61.151.178.197 - - [29/Jul/2019:18:30:19 +0800] "GET /toTop HTTP/1.1" 200 12803
61.151.178.197 - - [29/Jul/2019:18:30:19 +0800] "GET /bysj/css/flexslider.css HTTP/1.1" 200 3250
61.151.178.197 - - [29/Jul/2019:18:30:19 +0800] "GET /bysj/css/reset.css HTTP/1.1" 200 1187
61.151.178.197 - - [29/Jul/2019:18:30:19 +0800] "GET /bysj/css/responsive.css HTTP/1.1" 200 4432
61.151.178.197 - - [29/Jul/2019:18:30:19 +0800] "GET /bysj/css/thems.css HTTP/1.1" 200 13346
61.151.178.197 - - [29/Jul/2019:18:30:20 +0800] "GET /bysj/js/jquery-1.8.3.min.js HTTP/1.1" 200 93636
61.151.178.197 - - [29/Jul/2019:18:30:20 +0800] "GET /bysj/js/js_z.js HTTP/1.1" 200 788
61.151.178.197 - - [29/Jul/2019:18:30:20 +0800] "GET /bysj/js/js_z.js HTTP/1.1" 200 788
61.151.178.197 - - [29/Jul/2019:18:30:20 +0800] "GET /bysj/js/jquery.flexslider.js HTTP/1.1" 200 40487
61.151.178.197 - - [29/Jul/2019:18:30:20 +0800] "GET /bysj/js/jquery.flexslider.js HTTP/1.1" 200 40487
61.151.178.197 - - [29/Jul/2019:18:30:20 +0800] "GET /bysj/css/thems.css HTTP/1.1" 200 13346
61.151.178.197 - - [29/Jul/2019:18:30:20 +0800] "GET /bysj/css/responsive.css HTTP/1.1" 200 4432
61.151.178.197 - - [29/Jul/2019:18:30:20 +0800] "GET /bysj/css/reset.css HTTP/1.1" 200 1187
61.151.178.197 - - [29/Jul/2019:18:30:20 +0800] "GET /bysj/css/flexslider.css HTTP/1.1" 200 3250
61.151.178.197 - - [29/Jul/2019:18:30:20 +0800] "GET /bysj/images/icon2.png HTTP/1.1" 404 3387
61.151.178.197 - - [29/Jul/2019:18:30:20 +0800] "GET /bysj/images/nav_ico.png HTTP/1.1" 404 3387
61.151.178.197 - - [29/Jul/2019:18:30:20 +0800] "GET /bysj/images/icon3.png HTTP/1.1" 404 3387
61.151.178.197 - - [29/Jul/2019:18:30:20 +0800] "GET /bysj/images/icon4.png HTTP/1.1" 404 3387
61.151.178.197 - - [29/Jul/2019:18:30:20 +0800] "GET /images/logo4.png HTTP/1.1" 200 8674
61.151.178.197 - - [29/Jul/2019:18:30:20 +0800] "GET /bysj/images/icon5.png HTTP/1.1" 404 3387
61.151.178.197 - - [29/Jul/2019:18:30:21 +0800] "GET /bysj/images/nav1.jpg HTTP/1.1" 200 35839
61.151.178.197 - - [29/Jul/2019:18:30:22 +0800] "GET /bysj/images/nav3.jpg HTTP/1.1" 200 37949
61.151.178.197 - - [29/Jul/2019:18:30:24 +0800] "GET /bysj/images/nav2.jpg HTTP/1.1" 500 360448
61.151.178.197 - - [29/Jul/2019:18:30:24 +0800] "GET /bysj/images/nav4.jpg HTTP/1.1" 500 122880
61.151.178.197 - - [29/Jul/2019:18:30:24 +0800] "GET /bysj/images/nav1.jpg HTTP/1.1" 200 35839
61.151.178.197 - - [29/Jul/2019:18:30:28 +0800] "GET /bysj/images/nav4.jpg HTTP/1.1" 500 483328
113.96.218.51 - - [29/Jul/2019:18:30:31 +0800] "GET / HTTP/1.1" 302 -
117.136.87.7 - - [29/Jul/2019:18:30:31 +0800] "GET / HTTP/1.1" 302 -
117.136.87.7 - - [29/Jul/2019:18:30:32 +0800] "GET /toTop HTTP/1.1" 200 12803
117.136.87.7 - - [29/Jul/2019:18:30:38 +0800] "GET /toTop HTTP/1.1" 200 12803
120.204.17.73 - - [29/Jul/2019:18:31:04 +0800] "GET / HTTP/1.1" 302 -
61.151.207.186 - - [29/Jul/2019:18:31:12 +0800] "GET /toTop HTTP/1.1" 200 12803
61.151.207.186 - - [29/Jul/2019:18:31:12 +0800] "GET /bysj/css/flexslider.css HTTP/1.1" 200 3250
61.151.207.186 - - [29/Jul/2019:18:31:12 +0800] "GET /bysj/css/reset.css HTTP/1.1" 200 1187
61.151.207.186 - - [29/Jul/2019:18:31:12 +0800] "GET /bysj/css/thems.css HTTP/1.1" 200 13346
61.151.207.186 - - [29/Jul/2019:18:31:12 +0800] "GET /bysj/css/responsive.css HTTP/1.1" 200 4432
61.151.207.186 - - [29/Jul/2019:18:31:12 +0800] "GET /bysj/js/jquery-1.8.3.min.js HTTP/1.1" 200 93636
61.151.207.186 - - [29/Jul/2019:18:31:12 +0800] "GET /bysj/js/js_z.js HTTP/1.1" 200 788
61.151.207.186 - - [29/Jul/2019:18:31:13 +0800] "GET /bysj/js/js_z.js HTTP/1.1" 200 788
61.151.207.186 - - [29/Jul/2019:18:31:13 +0800] "GET /bysj/js/jquery.flexslider.js HTTP/1.1" 200 40487
61.151.207.186 - - [29/Jul/2019:18:31:13 +0800] "GET /bysj/js/jquery.flexslider.js HTTP/1.1" 200 40487
61.151.207.186 - - [29/Jul/2019:18:31:13 +0800] "GET /bysj/css/responsive.css HTTP/1.1" 200 4432
61.151.207.186 - - [29/Jul/2019:18:31:13 +0800] "GET /bysj/css/thems.css HTTP/1.1" 200 13346
61.151.207.186 - - [29/Jul/2019:18:31:13 +0800] "GET /bysj/css/flexslider.css HTTP/1.1" 200 3250
61.151.207.186 - - [29/Jul/2019:18:31:13 +0800] "GET /bysj/css/reset.css HTTP/1.1" 200 1187
61.151.207.186 - - [29/Jul/2019:18:31:13 +0800] "GET /bysj/images/icon2.png HTTP/1.1" 404 3387
61.151.207.186 - - [29/Jul/2019:18:31:13 +0800] "GET /bysj/images/nav_ico.png HTTP/1.1" 404 3387
61.151.207.186 - - [29/Jul/2019:18:31:13 +0800] "GET /images/logo4.png HTTP/1.1" 200 8674
61.151.207.186 - - [29/Jul/2019:18:31:14 +0800] "GET /bysj/images/icon5.png HTTP/1.1" 404 3387
61.151.207.186 - - [29/Jul/2019:18:31:14 +0800] "GET /bysj/images/icon3.png HTTP/1.1" 404 3387
61.151.207.186 - - [29/Jul/2019:18:31:14 +0800] "GET /bysj/images/icon4.png HTTP/1.1" 404 3387
